"YearBCE","Sites","SPD"
-5161,21,0.1037475498
-5160,21,0.1037783301
-5159,21,0.1038048227
-5158,21,0.10382695
-5157,21,0.1038450418
-5156,21,0.103859248
-5155,21,0.1038616067
-5154,21,0.1038536031
-5153,21,0.1038366796
-5152,21,0.1038127703
-5151,21,0.1037837384
-5150,21,0.1037555886
-5149,21,0.1037285742
-5148,21,0.1037027178
-5147,21,0.1036784519
-5146,21,0.1036557825
-5145,21,0.1036374657
-5144,21,0.1036235958
-5143,21,0.1036142441
-5142,21,0.1036094583
-5141,21,0.1036094583
-5140,21,0.1036126608
-5139,21,0.1036191809
-5138,21,0.1036291149
-5137,21,0.1036425415
-5136,21,0.1036595212
-5135,21,0.1036750016
-5134,21,0.1036887915
-5133,21,0.1037007073
-5132,21,0.1037105734
-5131,21,0.1037182233
-5130,21,0.1037248478
-5129,21,0.1037304425
-5128,21,0.1037350036
-5127,21,0.1037385276
-5126,21,0.1037410111
-5125,21,0.1037441053
-5124,21,0.1037478508
-5123,21,0.1037522888
-5122,21,0.1037574612
-5121,21,0.1037634107
-5120,21,0.1037691433
-5119,21,0.1037746873
-5118,21,0.1037800734
-5117,21,0.103785334
-5116,21,0.1037908893
-5115,21,0.1037897224
-5114,21,0.103782359
-5113,21,0.1037687617
-5112,21,0.103749314
-5111,21,0.1037242177
-5110,21,0.1037023132
-5109,21,0.103683645
-5108,21,0.1036678473
-5107,21,0.103654745
-5106,21,0.1036441555
-5105,21,0.1036394537
-5104,21,0.1036404366
-5103,21,0.103646873
-5102,21,0.103658506
-5101,21,0.1036752562
-5100,21,0.1036936984
-5099,21,0.1037132986
-5098,21,0.1037335042
-5097,21,0.103753748
-5096,21,0.1037732609
-5095,21,0.103788896
-5094,21,0.1038002463
-5093,21,0.1038073212
-5092,21,0.1038099339
-5091,21,0.1038079183
-5090,21,0.1038039713
-5089,21,0.1037976181
-5088,21,0.1037882103
-5087,21,0.1037754867
-5086,21,0.1037589889
-5085,21,0.1037397438
-5084,21,0.103717594
-5083,21,0.1036923968
-5082,21,0.1036640246
-5081,21,0.103632187
-5080,21,0.1035879898
-5079,21,0.1035309866
-5078,21,0.103460633
-5077,21,0.1033764671
-5076,21,0.1032780752
-5075,21,0.1031709052
-5074,21,0.1030548365
-5073,21,0.1029297509
-5072,21,0.1027955299
-5071,21,0.1026520517
-5070,21,0.1025054213
-5069,21,0.1023556382
-5068,21,0.1022026905
-5067,21,0.102046962
-5066,21,0.1018880442
-5065,21,0.1017276417
-5064,21,0.1015657847
-5063,21,0.1014027003
-5062,21,0.1012382141
-5061,21,0.101072351
-5060,21,0.1008993899
-5059,21,0.1007192704
-5058,21,0.1005323396
-5057,21,0.1003387526
-5056,21,0.1001386694
-5055,21,0.0999293194
-5054,21,0.0997107469
-5053,21,0.0994833984
-5052,21,0.0992475363
-5051,21,0.099003235
-5050,21,0.0987516793
-5049,21,0.0984933046
-5048,21,0.0982285636
-5047,21,0.0979579231
-5046,21,0.0976820506
-5045,21,0.0974039907
-5044,21,0.0971243731
-5043,21,0.0968434261
-5042,21,0.0965615882
-5041,21,0.0962792905
-5040,21,0.0959989241
-5039,21,0.0957209638
-5038,21,0.0954460583
-5037,21,0.0951744685
-5036,21,0.0949066529
-5035,21,0.0946384077
-5034,21,0.0943702123
-5033,21,0.0941023165
-5032,21,0.093834945
-5031,21,0.0935684751
-5030,21,0.0932997545
-5029,21,0.0930287996
-5028,21,0.092755523
-5027,21,0.092479504
-5026,21,0.0922004623
-5025,21,0.0918982971
-5024,21,0.0915709673
-5023,21,0.0912162283
-5022,21,0.0908323386
-5021,21,0.0904172898
-5020,21,0.0899846013
-5019,21,0.0895338916
-5018,21,0.0890648438
-5017,21,0.0885768017
-5016,21,0.0880699622
-5015,21,0.0875445753
-5014,21,0.0870005624
-5013,21,0.0864378932
-5012,21,0.0858565874
-5011,21,0.0852567146
-5010,21,0.084651256
-5009,21,0.0840402728
-5008,21,0.0834236329
-5007,21,0.0828016127
-5006,21,0.0821742911
-5005,21,0.0815487897
-5004,21,0.0809255674
-5003,21,0.0803043048
-5002,21,0.0796852912
-5001,21,0.0790686174
-5000,21,0.0784572166
-4999,21,0.077851197
-4998,21,0.0772506682
-4997,21,0.0766557406
-4996,21,0.0760667258
-4995,21,0.0754833722
-4994,21,0.0749056997
-4993,21,0.0743337288
-4992,21,0.0737674807
-4991,21,0.0732071773
